EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2008-1-1,54,45,36,37,27,16,76,52,28,30.04,29.90,29.81,10,10,10,26,13,36,0.00,3,,238
2008-1-2,38,32,25,17,10,3,58,43,28,30.50,30.13,29.93,10,10,8,32,18,40,T,4,Snow,313
2008-1-3,34,28,22,10,7,2,54,43,32,30.75,30.67,30.52,10,10,10,22,11,30,0.00,2,,320
2008-1-4,41,31,21,22,14,8,74,52,30,30.71,30.60,30.45,10,10,10,14,6,16,0.00,2,,195
2008-1-5,43,36,28,30,21,15,69,54,38,30.45,30.36,30.27,10,10,10,12,4,13,T,6,Rain,189
2008-1-6,55,47,38,42,38,30,85,74,62,30.29,30.25,30.21,10,9,5,12,3,13,0.20,6,Rain,180
2008-1-7,69,58,46,48,45,42,82,65,47,30.30,30.24,30.20,10,10,10,13,8,15,0.00,6,,182
2008-1-8,73,61,48,52,49,44,86,65,44,30.22,30.12,29.96,10,10,10,25,11,31,0.00,5,,193
2008-1-9,68,58,47,55,40,23,86,56,26,30.19,29.99,29.83,10,10,10,24,12,33,0.00,6,,268
2008-1-10,52,46,40,39,34,28,79,59,39,30.24,30.12,29.94,10,9,3,13,4,14,0.18,8,Rain,130
2008-1-11,59,51,43,52,44,33,93,72,50,29.93,29.76,29.67,10,5,0,20,5,25,0.15,7,Fog-Rain,11
2008-1-12,54,48,42,35,31,28,70,54,38,30.17,30.08,29.94,10,10,10,14,7,16,0.00,6,,355
2008-1-13,49,43,36,38,34,29,82,69,56,30.17,30.06,29.94,10,9,7,14,7,17,0.03,6,Rain,50
2008-1-14,47,41,35,37,28,16,85,60,34,30.01,29.93,29.88,10,9,5,24,8,29,T,7,Rain,299
2008-1-15,40,35,30,20,16,12,63,49,35,30.15,30.00,29.93,10,10,9,26,9,32,T,3,Snow,276
2008-1-16,44,38,32,25,20,17,59,48,36,30.40,30.32,30.16,10,10,10,20,8,28,0.00,5,,314
2008-1-17,39,37,34,32,30,22,89,71,52,30.38,30.18,29.98,10,4,0,13,6,16,0.75,8,Rain-Snow,57
2008-1-18,49,41,33,37,30,20,89,67,44,30.12,30.00,29.91,10,8,2,12,7,15,T,6,,269
2008-1-19,42,39,36,28,21,15,75,55,34,30.19,30.08,29.97,10,10,9,12,7,15,T,8,Snow,298
2008-1-20,37,28,19,18,0,-7,69,47,25,30.65,30.33,29.95,10,10,10,26,15,35,0.00,2,,310
2008-1-21,32,25,18,8,-2,-6,42,31,20,30.86,30.75,30.64,10,10,10,14,7,18,0.00,1,,260
2008-1-22,42,34,26,33,21,9,76,57,38,30.61,30.25,29.98,10,10,10,18,11,22,T,7,Rain,200
2008-1-23,48,39,30,31,16,5,82,50,17,30.11,30.06,29.98,10,10,10,28,9,32,0.00,3,,343
2008-1-24,43,36,28,20,15,10,63,46,29,30.32,30.09,29.96,10,10,10,28,10,33,0.00,5,,4
2008-1-25,36,29,22,10,6,3,52,39,25,30.54,30.43,30.33,10,10,10,24,10,30,0.00,1,,296
2008-1-26,40,35,29,17,12,2,53,41,28,30.34,30.23,30.10,10,10,10,12,5,15,0.00,8,,67
2008-1-27,45,38,30,25,20,16,59,48,36,30.18,30.11,30.07,10,10,10,21,8,25,0.00,5,,346
2008-1-28,47,40,33,27,24,21,69,53,37,30.22,30.14,30.05,10,10,9,15,7,20,0.00,5,,322
2008-1-29,54,44,33,36,32,25,79,65,50,30.03,29.82,29.60,10,9,6,13,4,20,0.05,7,Rain,175
2008-1-30,56,46,36,44,17,1,74,45,15,30.31,29.87,29.47,10,10,9,30,15,39,0.01,3,Rain,282
2008-1-31,45,37,28,19,7,1,40,29,18,30.61,30.51,30.34,10,10,10,17,8,22,0.00,4,,30
